,minute,h_a,situation,shotType,lastAction,distanceToGoal,angleToGoal
25175,43,2,3,2,27,17.604183319233,15.0872869369685
25176,47,2,3,4,12,13.0646435505869,29.968242988242
25177,50,2,3,4,27,29.3428194827003,12.2778079581774
25178,55,2,3,4,24,12.085039418435,32.9810342523732
25179,61,2,2,1,11,9.16592692465877,41.0462604926009
25180,65,2,3,2,38,16.8532516286544,20.9766334955347
25181,69,2,3,4,27,15.1704758777047,22.0110527103782
25182,77,2,3,4,24,25.3538687413422,16.2052480404231
25183,79,2,3,2,8,17.8057602158992,16.6299704926139
25184,80,2,3,4,38,14.1017309914974,16.6142388733334
25185,86,2,3,4,27,17.759003086061,16.4485457322105
25613,5,2,3,4,27,23.0245332552266,14.5103960061329
25614,30,2,3,4,27,18.4387242640914,10.4017255302827
25615,32,2,3,2,24,16.1706076513615,25.5056710479087
25616,32,2,3,4,8,13.5085437961836,25.3022780077518
25617,37,2,3,1,11,12.4921284285173,30.1940220810133
25618,42,2,3,2,27,12.3980447092427,10.2462725176114
25619,47,2,4,4,33,12.1678110192425,33.2803475559272
25620,73,2,4,4,33,12.1678110192425,33.2803475559272
25621,89,2,3,4,3,22.5433150888315,13.9571638352305
25622,91,2,3,4,27,29.9560746005222,13.8707870217985
25900,0,1,3,4,27,11.4707571829391,21.6388655610789
25901,2,1,3,2,24,13.0830778574975,29.2590701547538
18465,44,2,3,2,27,17.6605470948097,19.8233829996252
18466,44,2,3,4,29,28.4977285729994,14.6160087030601
18467,45,2,3,4,27,15.5688921129215,26.41581948965
18468,46,2,5,4,27,28.2515207743378,14.3393174542227
18469,48,2,3,2,27,21.930273885975,17.5173833113483
18470,49,2,2,4,8,25.7436377012912,16.1094689524056
18471,50,2,3,4,11,6.41139356002593,50.0221109592365
18472,58,2,5,4,1,14.5605913284327,28.1036302431199
18473,58,2,5,4,27,24.949309728738,16.3847666532005
18474,59,2,3,4,27,25.0235864235712,16.621284346197
18475,60,2,2,1,11,8.2633196121008,45.2351186836516
18476,65,2,3,2,27,21.450638224949,14.1931322315784
20489,32,2,3,4,11,15.4568246715707,26.4545134400466
20490,38,2,3,4,11,14.6017115751623,26.7435628320542
20491,44,2,3,4,27,14.5691601375507,27.2048281403996
20492,45,2,3,1,24,8.37571797400379,46.9317953057886
20493,49,2,2,1,11,16.2817759000829,25.0422225714869
20494,51,2,3,2,27,15.381131970305,26.2185706865012
20495,59,2,3,4,27,27.0100252884556,14.7321561818768
20496,61,2,5,1,11,12.0189847005171,33.7647032058769
20497,68,2,4,4,33,12.1678110192425,33.2803475559272
20498,71,2,3,2,27,21.5388666946146,13.5253186466618
20499,75,2,3,1,11,3.9954580708516,81.3641845132565
20500,80,2,3,4,27,18.7047250687622,19.0307889933654
22352,72,1,3,4,27,7.71927143908695,50.1482836941536
22671,5,2,3,4,27,20.5759792746919,20.0811821613286
22672,16,2,3,4,27,22.7640758301194,17.889185137686
22673,18,2,2,1,11,8.84988388912103,34.9327616125006
22674,20,2,3,4,24,15.2033902673718,18.3557967405153
22675,27,2,3,1,8,11.3380556877282,34.5072180037559
22676,33,2,3,1,11,10.3550162784231,37.5957823382202
22677,37,2,3,2,27,20.5298715290671,20.1669484776721
22678,43,2,3,2,27,24.57155174215,16.9431392931821
22679,52,2,3,4,24,13.1667026706127,22.9195543517839
22680,53,2,2,4,24,17.9877156770627,17.7274892393125
22681,64,2,2,1,1,6.51667361156497,44.3691216603817
26161,84,2,3,2,27,25.5624907199137,15.5677162549718
26162,92,2,3,2,27,19.8987574659321,18.3401860602431
26163,92,2,3,4,29,17.0744213319476,17.4855945668814
26164,93,2,3,4,27,16.9785754648448,21.3785139563598
26438,13,1,3,4,2,10.4894930315051,37.9352077669289
26439,17,1,3,4,27,23.9173175349745,16.6233209613702
26440,18,1,3,2,27,36.3640443126707,9.8926153417499
26441,32,1,3,4,8,16.9398169868451,15.2446717418685
26442,33,1,3,4,24,19.9660648505463,20.5597962537865
26443,52,1,2,1,11,8.00271201046627,48.6969542462668
26444,53,1,3,4,27,12.6551344370043,23.9969536512178
26445,56,1,3,4,8,11.3778304771717,19.3406183075908
23940,12,1,3,4,27,21.6839623915926,13.7108323183597
23941,26,1,3,4,8,21.0249512469708,19.7284309215061
23942,34,1,4,4,33,12.1678110192425,33.2803475559272
23943,37,1,3,4,27,22.2539476102048,17.9425122778725
23944,38,1,2,2,24,10.9120298940971,34.6423936830053
23945,44,1,3,2,27,23.252585960721,16.5604024863808
23946,50,1,3,1,11,2.07288054356107,47.6783422245401
23947,56,1,3,4,27,11.6003650821035,29.7207651391176
23948,63,1,5,4,3,15.7620416393042,26.1279039674354
23949,67,1,3,4,27,14.3049331062941,27.9470582649206
24183,6,2,3,2,11,13.4428368441784,30.4555376290925
24184,13,2,3,2,27,30.6914290223553,13.1836295659892
20767,60,2,3,4,1,14.4034464587969,26.7019601987464
20768,63,2,5,2,8,11.9773390859594,25.0256668282172
20769,65,2,3,4,27,15.3505436988576,26.3145430970909
20770,67,2,3,2,27,17.9737460277271,16.1934555338031
20771,73,2,3,4,27,14.5611493914712,15.3620193412403
20772,80,2,3,4,27,22.4336360182651,17.8299137512119
21190,9,1,3,2,27,23.8751511252863,17.0424594154693
21191,23,1,2,4,11,9.30375518950774,42.4256232093315
21192,29,1,3,4,27,15.7592544239885,26.1363739918391
21193,44,1,3,4,11,8.44631911840016,45.6053193114849
21194,51,1,3,2,8,3.81285746575969,87.5685421461429
21195,58,1,5,1,1,15.5536315163229,25.0565785909758
22765,49,1,2,1,11,9.28758875356887,21.3203416481615
22766,49,1,3,4,39,10.3985181707321,35.2165490942731
22767,51,1,3,4,27,17.5815599725497,20.5195226248276
22768,57,1,5,1,11,9.79870569340366,40.8655012041999
22769,58,1,3,4,27,16.5774574266656,23.7984565124887
22770,70,1,3,4,38,15.5928127183581,16.0512941024963
22771,73,1,3,4,27,30.0902229491915,13.517181688846
23017,1,1,2,4,24,25.2652386360566,16.3803003710623
23018,4,1,3,4,27,16.8913368096287,13.9680848075239
23019,6,1,2,4,19,25.91765148338,15.5287681185742
23020,19,1,3,4,8,11.2227639196997,13.4417362294774
23021,27,1,2,4,27,26.6713770141571,13.1405824623018
24317,46,1,3,4,39,12.9663685032798,25.4947609850155
24318,47,1,3,2,27,16.2785912415966,22.7102519574804
24319,84,1,3,4,11,17.0424207615102,19.8319224882438
24589,18,2,3,2,27,28.6993182922682,13.5981041182998
24590,19,2,2,4,19,19.3231329294067,17.0900662942674
24591,42,2,3,4,27,28.0490568021382,14.8614265568455
24592,55,2,3,1,1,9.45597146509195,42.3005391378747
24593,56,2,3,2,3,5.40932573973793,42.6285717062541
24594,62,2,3,2,27,32.4463591948311,12.3061860448532
24595,74,2,3,2,24,24.5562465778419,15.1009243927379
24596,81,2,3,4,24,16.3836101990949,25.1806748282471
24597,82,2,3,1,29,15.1503123489787,26.1390475807126
23034,86,1,1,4,33,32.0629225987633,8.8693477907317
23035,95,1,3,4,27,9.76920115731777,13.6894389706799
23240,15,2,3,2,27,29.9742690224409,11.7253269920271
23241,21,2,5,4,27,28.2707700489163,14.6879483376431
23242,25,2,3,4,27,29.6071622073591,13.9513932631036
23243,29,2,3,4,27,26.6314277483209,14.9065042372094
23244,40,2,3,4,24,19.7603833742121,20.353458516382
23245,50,2,3,4,27,19.7282025924796,20.4166113665255
23246,51,2,2,4,38,26.217796945329,13.7762902481125
23247,56,2,1,4,33,26.2361387157169,15.4072509432573
23248,57,2,3,2,27,19.9959095236657,20.6015414153288
23249,75,2,3,4,27,17.0645278231232,23.7450548253828
18263,43,1,3,1,1,11.4153612728265,27.1475391365347
18264,46,1,3,4,27,13.1079606413915,24.7449237394148
18265,48,1,5,1,8,12.0473213433652,22.7851373039769
18266,49,1,3,1,8,9.78562940056964,40.3379063593481
18267,49,1,3,1,24,9.45287413790505,42.0040043500019
18268,50,1,3,4,27,8.74649558764884,42.0280108880103
18269,51,1,3,2,38,25.5241697966467,16.3148833166393
18270,56,1,3,2,11,15.7961538081899,25.8737422204824
18271,60,1,3,4,38,16.4099257059177,18.1282455938418
18272,60,1,2,4,27,15.2852661869849,26.8401676174342
18273,73,1,3,4,27,21.4455900376275,15.4897835333992
18274,74,1,3,4,27,21.5795941397247,18.5968913541218
