,status
72205,0
72206,0
72207,0
72208,0
72209,0
72210,0
72211,0
72212,1
72213,0
72214,0
72215,0
72216,0
72217,0
72218,1
72219,0
72220,0
72221,0
72222,0
72223,0
72224,0
72225,0
72226,0
72227,1
72228,1
72229,0
72230,0
72231,0
72232,1
72233,0
72234,0
72235,0
72236,0
72237,0
72238,0
72239,0
72240,1
72241,0
72242,0
72243,0
72244,0
72245,0
72246,0
72247,0
72248,0
72249,0
72250,0
72251,0
72252,0
72253,0
72254,0
72255,1
72256,0
72257,0
72258,0
72259,0
72260,1
72261,0
72262,0
72263,0
72264,1
72265,0
72266,0
72267,0
72268,0
72269,0
72270,0
72271,0
72272,1
72273,0
72274,0
72275,0
72276,0
72277,0
72278,0
72279,0
72280,1
72281,0
72282,0
72283,1
72284,0
72285,0
72286,0
72287,0
72288,0
72289,0
72290,0
72291,0
72292,0
72293,1
72294,0
72295,0
72296,0
72297,0
72298,1
72299,1
72300,0
72301,0
72302,0
72303,0
72304,1
72305,0
72306,0
72307,1
72308,0
72309,0
72310,0
72311,0
72312,0
72313,0
72314,0
72315,0
72316,0
72317,1
72318,1
72319,0
72320,0
72321,0
72322,0
72323,0
72324,0
72325,0
72326,0
72327,0
72328,1
72329,0
72330,0
72331,0
72332,0
72333,0
72334,0
72335,0
72336,0
72337,0
72338,0
72339,0
72340,1
72341,0
72342,0
72343,1
72344,0
72345,0
72346,0
72347,0
72348,0
72349,0
72350,0
72351,0
72352,0
72353,0
72354,0
72355,1
72356,0
72357,0
72358,1
72359,0
72360,0
72361,0
72362,0
72363,0
72364,0
72365,0
72366,0
72367,0
72368,0
72369,0
72370,1
72371,1
72372,0
72373,0
72374,0
72375,0
72376,1
72377,1
72378,0
72379,0
72380,0
72381,0
72382,0
72383,0
72384,0
72385,0
72386,0
72387,0
72388,0
72389,0
72390,0
72391,0
72392,0
72393,0
72394,1
72395,0
72396,0
72397,1
72398,0
72399,0
72400,0
72401,0
72402,0
72403,0
72404,0
72405,0
72406,0
72407,0
72408,0
72409,0
72410,0
72411,1
72412,1
72413,0
72414,0
72415,0
72416,0
72417,0
72418,0
72419,0
72420,1
72421,0
72422,0
72423,1
72424,0
72425,0
72426,0
72427,0
72428,0
72429,0
72430,0
72431,0
72432,0
72433,0
72434,0
72435,0
72436,0
72437,1
72438,0
72439,0
72440,0
72441,0
72442,0
72443,0
72444,1
72445,0
72446,0
72447,1
72448,0
72449,0
72450,1
72451,0
72452,0
72453,0
72454,0
72455,0
72456,0
72457,0
72458,0
72459,0
72460,0
72461,1
72462,0
72463,0
72464,0
72465,0
72466,0
72467,0
72468,0
72469,0
72470,0
72471,0
72472,1
72473,0
72474,0
72475,0
72476,0
72477,1
72478,0
72479,0
72480,0
72481,0
72482,1
72483,0
72484,0
72485,0
72486,0
72487,0
72488,0
72489,0
72490,0
72491,0
72492,0
72493,0
72494,0
72495,0
72496,0
72497,0
72498,1
72499,0
72500,0
72501,0
72502,0
72503,0
72504,0
72505,0
72506,0
72507,0
72508,0
72509,0
72510,0
72511,0
72512,0
72513,0
72514,0
72515,0
72516,0
72517,0
72518,0
72519,1
72520,0
72521,0
72522,1
72523,0
72524,0
72525,0
72526,0
72527,0
72528,1
72529,0
72530,1
72531,1
72532,0
72533,0
72534,0
72535,0
72536,0
72537,0
72538,0
72539,0
72540,0
72541,0
72542,0
72543,0
72544,0
72545,0
72546,0
72547,0
72548,0
72549,0
72550,0
72551,0
72552,0
72553,0
72554,1
72555,0
72556,0
72557,0
72558,1
72559,0
72560,0
72561,0
72562,0
72563,1
72564,0
72565,0
72566,0
72567,1
72568,1
72569,0
72570,0
72571,0
72572,0
72573,0
72574,0
72575,0
72576,0
72577,0
72578,0
72579,0
72580,0
72581,0
72582,0
72583,0
72584,0
72585,0
72586,0
72587,1
72588,0
72589,0
72590,1
72591,0
72592,1
72593,0
72594,0
72595,0
72596,0
72597,0
72598,0
72599,0
72600,0
72601,0
72602,0
72603,0
72604,0
72605,0
72606,0
72607,1
72608,0
72609,0
72610,1
72611,0
72612,0
72613,0
72614,0
72615,0
72616,0
72617,0
72618,0
72619,0
72620,0
72621,0
72622,0
72623,0
72624,0
72625,0
72626,0
72627,1
72628,0
72629,0
72630,0
72631,0
72632,0
72633,0
72634,1
72635,0
72636,0
72637,0
72638,0
72639,0
72640,0
72641,0
72642,0
72643,0
72644,0
72645,0
72646,0
72647,0
72648,0
72649,0
72650,0
72651,0
72652,0
72653,0
72654,1
72655,0
72656,0
72657,1
72658,1
72659,0
72660,0
72661,0
72662,0
72663,0
72664,0
72665,0
72666,0
72667,0
72668,0
72669,0
72670,0
72671,0
72672,0
72673,0
72674,1
72675,0
72676,0
72677,0
72678,0
72679,0
72680,0
72681,0
72682,0
72683,0
72684,0
72685,0
72686,0
72687,0
72688,0
72689,0
72690,0
72691,0
72692,0
72693,0
72694,0
72695,0
72696,0
72697,0
72698,1
72699,1
72700,1
72701,0
72702,0
72703,0
72704,0
72705,0
72706,0
72707,0
72708,0
72709,1
72710,0
72711,0
72712,0
72713,0
72714,0
72715,0
72716,0
72717,0
72718,0
72719,0
72720,1
72721,1
72722,0
72723,0
72724,0
72725,0
72726,0
72727,0
72728,0
72729,0
72730,1
72731,0
72732,0
72733,0
72734,0
72735,0
