,status
219535,0
219536,0
219537,0
219538,0
219539,0
219540,0
219541,0
219542,0
219543,0
219544,0
219545,1
219546,0
219547,0
219548,0
219549,0
219550,0
219551,0
219552,0
219553,0
219554,0
219555,0
219556,0
219557,0
219558,0
219559,0
219560,0
219561,0
219562,0
219563,0
219564,0
219565,1
219566,0
219567,0
219568,0
219569,0
219570,0
219571,0
219572,1
219573,0
219574,0
219575,0
219576,0
219577,0
219578,0
219579,0
219580,0
219581,0
219582,0
219583,0
219584,0
219585,0
219586,0
219587,0
219588,1
219589,0
219590,0
219591,0
219592,0
219593,0
219594,0
219595,0
219596,0
219597,0
219598,1
219599,0
219600,0
219601,0
219602,0
219603,0
219604,0
219605,0
219606,0
219607,1
219608,0
219609,0
219610,0
219611,0
219612,0
219613,0
219614,0
219615,0
219616,0
219617,1
219618,0
219619,1
219620,0
219621,0
219622,0
219623,0
219624,0
219625,0
219626,0
219627,0
219628,1
219629,0
219630,0
219631,0
219632,0
219633,1
219634,0
219635,0
219636,0
219637,0
219638,1
219639,0
219640,0
219641,1
219642,0
219643,1
219644,0
219645,0
219646,1
219647,1
219648,1
219649,0
219650,0
219651,0
219652,0
219653,0
219654,0
219655,0
219656,0
219657,0
219658,0
219659,0
219660,0
219661,0
219662,0
219663,0
219664,0
219665,0
219666,0
219667,0
219668,1
219669,0
219670,0
219671,1
219672,0
219673,0
219674,0
219675,0
219676,0
219677,1
219678,1
219679,0
219680,0
219681,0
219682,0
219683,0
219684,0
219685,0
219686,0
219687,0
219688,0
219689,0
219690,0
219691,0
219692,0
219693,0
219694,0
219695,0
219696,0
219697,0
219698,0
219699,0
219700,0
219701,0
219702,0
219703,0
219704,0
219705,0
219706,0
219707,0
219708,0
219709,0
219710,0
219711,0
219712,0
219713,0
219714,1
219715,0
219716,0
219717,0
219718,0
219719,1
219720,0
219721,0
219722,0
219723,0
219724,0
219725,0
219726,0
219727,0
219728,0
219729,0
219730,0
219731,0
219732,0
219733,0
219734,1
219735,0
219736,0
219737,0
219738,0
219739,0
219740,0
219741,1
219742,0
219743,0
219744,0
219745,1
219746,1
219747,0
219748,0
219749,1
219750,0
219751,0
219752,0
219753,0
219754,0
219755,0
219756,0
219757,0
219758,0
219759,0
219760,0
219761,0
219762,0
219763,0
219764,0
219765,1
219766,0
219767,1
219768,0
219769,0
219770,0
219771,0
219772,0
219773,0
219774,0
219775,0
219776,0
219777,0
219778,0
219779,0
219780,0
219781,0
219782,0
219783,0
219784,0
219785,0
219786,1
219787,0
219788,0
219789,0
219790,0
219791,0
219792,0
219793,0
219794,0
219795,0
219796,0
219797,0
219798,0
219799,0
219800,0
219801,0
219802,0
219803,0
219804,1
219805,0
219806,0
219807,0
219808,0
219809,0
219810,0
219811,1
219812,0
219813,0
219814,0
219815,0
219816,0
219817,0
219818,0
219819,0
219820,0
219821,0
219822,0
219823,1
219824,0
219825,0
219826,0
219827,0
219828,0
219829,0
219830,1
219831,0
219832,0
219833,0
219834,0
219835,0
219836,0
219837,0
219838,0
219839,0
219840,0
219841,0
219842,0
219843,0
219844,0
219845,0
219846,0
219847,0
219848,0
219849,0
219850,0
219851,1
219852,0
219853,0
219854,0
219855,0
219856,0
219857,0
219858,0
219859,0
219860,0
219861,0
219862,0
219863,0
219864,0
219865,0
219866,1
219867,0
219868,0
219869,0
219870,0
219871,0
219872,0
219873,0
219874,0
219875,0
219876,0
219877,0
219878,0
219879,0
219880,0
219881,0
219882,0
219883,0
219884,0
219885,0
219886,0
219887,0
219888,0
219889,0
219890,0
219891,1
219892,0
219893,0
219894,0
219895,0
219896,0
219897,0
219898,0
219899,0
219900,0
219901,0
219902,0
219903,0
219904,0
219905,0
219906,0
219907,0
219908,0
219909,0
219910,1
219911,0
219912,0
219913,0
219914,0
219915,0
219916,0
219917,0
219918,0
219919,0
219920,0
219921,0
219922,0
219923,0
219924,0
219925,1
219926,0
219927,0
219928,0
219929,0
219930,1
